,mean AUC,angry AUC,disgust AUC,fear AUC,happy AUC,neautral AUC,sad AUC,surprise AUC,mean PREC,angry PREC,disgust PREC,fear PREC,happy PREC,neautral PREC,sad PREC,surprise PREC
Fer2013_filtered_uniform_aug_disgust100_residual05_identity05_alternate10 xval-10,0.9087254761904762,0.8738058333333333,0.941975,0.8324741666666666,0.9598958333333334,0.9181683333333333,0.8595741666666665,0.975185,0.6354285714285715,0.554,0.5690000000000001,0.4609999999999999,0.8099999999999999,0.646,0.604,0.8039999999999999
Fer2013_filtered_uniform_aug_disgust100_residual05_identity05_alternate10 xval-10,0.9094359523809524,0.8759891666666666,0.9445716666666668,0.8473883333333333,0.9608541666666668,0.9103683333333332,0.8503891666666666,0.9764908333333334,0.6278571428571429,0.5289999999999999,0.5569999999999999,0.4789999999999999,0.817,0.64,0.5650000000000001,0.808
Fer2013_filtered_uniform_aug_disgust100_residual05_identity05_alternate10 xval-10,0.9156592857142858,0.8787858333333334,0.9533666666666668,0.8526849999999999,0.9646133333333332,0.9211575,0.8648608333333332,0.9741458333333334,0.6462857142857142,0.562,0.5780000000000001,0.485,0.8310000000000001,0.667,0.593,0.808
Fer2013_filtered_uniform_aug_surprise1000_residual05_identity05 xval-10,0.909862857142857,0.8785791666666668,0.9424833333333332,0.8411725000000001,0.9611316666666668,0.9179458333333332,0.8551541666666667,0.9725733333333334,0.639,0.5599999999999999,0.546,0.456,0.8300000000000001,0.6559999999999999,0.6,0.8250000000000002
Fer2013_filtered_uniform_aug_surprise1000_residual05_identity05 xval-10,0.910724761904762,0.8777275,0.94943,0.8468308333333333,0.9614633333333332,0.9155608333333334,0.8523008333333333,0.97176,0.6377142857142857,0.538,0.5799999999999998,0.471,0.8220000000000001,0.651,0.572,0.8300000000000001
Fer2013_filtered_uniform_aug_surprise1000_residual05_identity05 xval-10,0.9122451190476192,0.8715358333333333,0.9505250000000002,0.8501866666666666,0.9614716666666666,0.9157958333333334,0.8638583333333333,0.9723425,0.642,0.5279999999999999,0.5820000000000001,0.479,0.8150000000000001,0.665,0.6139999999999999,0.8109999999999999
Fer2013_filtered_uniform_aug_surprise1000selected_residual05_identity05 xval-10,0.9100348809523808,0.8751958333333333,0.949495,0.8407074999999999,0.9600758333333334,0.9199525000000002,0.8533200000000001,0.9714975,0.6367142857142857,0.5490000000000002,0.5650000000000001,0.4669999999999999,0.836,0.655,0.577,0.808
Fer2013_filtered_uniform_aug_surprise1000selected_residual05_identity05 xval-10,0.9094523809523808,0.8808250000000001,0.94386,0.8464975000000001,0.9599325,0.9104316666666664,0.8511633333333333,0.9734566666666667,0.6308571428571428,0.554,0.5609999999999999,0.474,0.827,0.631,0.578,0.791
Fer2013_filtered_uniform_aug_surprise1000selected_residual05_identity05 xval-10,0.9093763095238095,0.8808741666666666,0.9438958333333334,0.8441741666666667,0.9609391666666666,0.9101866666666666,0.8514558333333333,0.9741083333333332,0.6377142857142857,0.5730000000000001,0.55,0.4630000000000001,0.821,0.641,0.603,0.813
Fer2013_filtered_uniform_aug_disgust100_residual05_identity03 xval-10,0.9138858333333332,0.8840008333333333,0.9494633333333332,0.8475949999999999,0.960775,0.9213983333333337,0.8566341666666666,0.9773341666666664,0.6482857142857144,0.5900000000000001,0.5770000000000001,0.492,0.8110000000000002,0.687,0.5710000000000001,0.8100000000000002
Fer2013_filtered_uniform_aug_disgust100_residual05_identity03 xval-10,0.9114961904761906,0.8848641666666666,0.9430333333333334,0.8440091666666667,0.9611616666666668,0.9193633333333332,0.8541224999999999,0.9739191666666664,0.6412857142857142,0.5599999999999999,0.5940000000000001,0.5020000000000001,0.8150000000000001,0.662,0.5690000000000002,0.787
Fer2013_filtered_uniform_aug_disgust100_residual05_identity03 xval-10,0.915495119047619,0.8861233333333333,0.9497066666666664,0.8556908333333334,0.9616,0.9219316666666668,0.8578466666666668,0.9755666666666668,0.6508571428571428,0.5609999999999999,0.5980000000000001,0.504,0.8230000000000001,0.684,0.571,0.8150000000000001
Fer2013_filtered_uniform_aug_disgust100_residual05_identity05_late_in005 xval-10,0.9114578571428572,0.8763191666666665,0.9474266666666666,0.8482391666666667,0.9641416666666668,0.9140466666666665,0.8545266666666667,0.9755049999999998,0.6362857142857143,0.563,0.565,0.462,0.819,0.6620000000000001,0.5680000000000001,0.8150000000000001
Fer2013_filtered_uniform_aug_disgust100_residual05_identity05_late_in005 xval-10,0.9145133333333336,0.8853866666666667,0.94981,0.8491099999999999,0.9635308333333334,0.9234083333333332,0.8556816666666668,0.9746658333333332,0.6452857142857142,0.5850000000000001,0.565,0.4779999999999999,0.837,0.679,0.564,0.8089999999999999
Fer2013_filtered_uniform_aug_disgust100_residual05_identity05_late_in005 xval-10,0.9137844047619048,0.8786875000000001,0.9447383333333332,0.8454133333333333,0.96275,0.9256725,0.8623125,0.9769166666666668,0.6402857142857143,0.546,0.5660000000000001,0.473,0.812,0.6829999999999999,0.584,0.818
Fer2013_filtered_uniform_aug_surprise100_identity05 xval-10,0.9121934523809525,0.8859366666666666,0.9443283333333333,0.8418858333333332,0.9624275000000001,0.9189033333333334,0.8579516666666664,0.9739208333333332,0.6454285714285714,0.568,0.5429999999999999,0.473,0.817,0.672,0.615,0.8300000000000001
