,mean AUC,angry AUC,disgust AUC,fear AUC,happy AUC,neautral AUC,sad AUC,surprise AUC,mean ACC,angry ACC,disgust ACC,fear ACC,happy ACC,neautral ACC,sad ACC,surprise ACC
Fer2013_merge_selected_85_uniform_aug_disgust xval-4,0.8519508928571429,0.8029333333333333,0.8974166666666666,0.7462708333333334,0.92115625,0.8668229166666667,0.8205291666666668,0.9085270833333332,0.5657142857142856,0.485,0.515,0.4175,0.7224999999999999,0.6025,0.4624999999999999,0.7549999999999999
Fer2013_merge_selected_85_uniform_aug_disgust xval-4,0.8515273809523809,0.810425,0.9016458333333334,0.7484875,0.9200583333333332,0.8673770833333334,0.8149500000000001,0.8977479166666666,0.5582142857142858,0.4825,0.5,0.3974999999999999,0.7375,0.5750000000000001,0.4625,0.7525000000000001
Fer2013_merge_selected_85_uniform_aug_disgust xval-4,0.8521172619047619,0.8209166666666666,0.8982500000000001,0.751125,0.92315,0.8651583333333334,0.8030124999999999,0.9032083333333334,0.5664285714285715,0.5175000000000001,0.49,0.4349999999999999,0.7224999999999999,0.61,0.4425,0.7474999999999999
Fer2013_merge_selected_85_uniform xval-4,0.850586607142857,0.8111645833333333,0.9033541666666668,0.7502,0.9154104166666666,0.8648666666666667,0.8125499999999999,0.8965604166666667,0.5653571428571429,0.5175000000000001,0.505,0.3875,0.72,0.5974999999999999,0.475,0.755
Fer2013_merge_selected_85_uniform_aug_disgust_5000 xval-4,0.8557976190476191,0.8226166666666667,0.8868833333333332,0.7491291666666666,0.9203145833333334,0.8676916666666667,0.8332833333333334,0.9106645833333332,0.5675,0.4725,0.4875,0.4524999999999999,0.715,0.6225,0.475,0.7475
Fer2013_merge_selected_85_uniform_aug_surprise xval-4,0.8507997023809525,0.8141916666666668,0.9069708333333334,0.7376208333333333,0.9216375,0.8644083333333334,0.8067916666666667,0.9039770833333334,0.5585714285714286,0.4875,0.5025,0.35,0.73,0.6,0.4674999999999999,0.7725
Fer2013_merge_selected_85_uniform_aug_surprise xval-4,0.8494645833333334,0.8098916666666667,0.8957916666666665,0.7412250000000001,0.9236583333333334,0.8564354166666667,0.8183041666666667,0.9009458333333334,0.5653571428571429,0.51,0.5175,0.3625,0.72,0.595,0.4875,0.765
Fer2013_merge_selected_85_uniform_aug_surprise_500 xval-4,0.8462297619047618,0.8025416666666667,0.9059791666666668,0.7288354166666666,0.9072375,0.861575,0.8121291666666668,0.9053104166666666,0.5546428571428572,0.4674999999999999,0.52,0.365,0.7050000000000001,0.6125,0.4674999999999999,0.7449999999999999
Fer2013_merge_selected_85_uniform_aug_surprise_100 xval-4,0.8507309523809523,0.8052541666666666,0.9116041666666665,0.7401083333333334,0.91755,0.8614499999999999,0.8055208333333334,0.9136291666666666,0.5578571428571428,0.495,0.5225,0.35250000000000004,0.7549999999999999,0.5825,0.4225,0.775
