,mean AUC,angry AUC,disgust AUC,fear AUC,happy AUC,neautral AUC,sad AUC,surprise AUC,mean ACC,angry ACC,disgust ACC,fear ACC,happy ACC,neautral ACC,sad ACC,surprise ACC
Fer2013_merge_selected_85_uniform xval-4,0.8500354166666666,0.8019833333333334,0.90395,0.7584895833333333,0.91678125,0.8463458333333334,0.8176208333333334,0.9050770833333333,0.5528571428571429,0.5,0.4925,0.41,0.72,0.5425,0.4775,0.7274999999999999
Fer2013_merge_selected_85_uniform_aug_disgust xval-4,0.8552110119047619,0.8095583333333334,0.8992958333333333,0.7553124999999999,0.926875,0.8739,0.812725,0.9088104166666666,0.5660714285714286,0.48,0.5175000000000001,0.4075,0.72,0.6025,0.4825,0.7525
